postId,posCommentCount,neuCommentCount,negCommentCount,totalCommentCount,netCompound
1991716644473195_1992773374367522,0,1,0,1,0
1991716644473195_1992774981034028,9,15,1,25,3.8622
1991716644473195_1992791511032375,1,0,0,1,0.5859
1991716644473195_1992805464364313,2,3,0,5,0.6572
1991716644473195_1995457094099150,1,3,1,5,0.3377
1991716644473195_1995524977425695,1,4,1,6,0.0222
1991716644473195_1995535297424663,0,2,0,2,0
1991716644473195_1996931270618399,8,4,0,12,3.5232
1991716644473195_1997093533935506,1,6,0,7,0.1027
1991716644473195_1997188833925976,1,0,0,1,0.5859
1991716644473195_1997422857235907,5,3,0,8,2.1228
1991716644473195_1997717560539770,5,6,0,11,3.4637
1991716644473195_1998098187168374,0,1,7,8,-3.189
1991716644473195_1998220037156189,2,3,0,5,0.8605
1991716644473195_1998718923772967,0,4,0,4,0
1991716644473195_1999038967074296,0,6,0,6,0
1991716644473195_1999065993738260,4,19,2,25,0.4505
1991716644473195_1999245653720294,6,4,0,10,2.7045
1991716644473195_1999609770350549,1,1,0,2,0.7845
1991716644473195_1999689580342568,0,1,0,1,0
1991716644473195_1999718663672993,1,1,0,2,0.3612
1991716644473195_2000121550299371,0,4,0,4,0
1991716644473195_2000796276898565,1,7,0,8,0.5204
1991716644473195_2000953706882822,0,9,3,12,-1.3703
1991716644473195_2002323966745796,5,8,0,13,2.0348
1991716644473195_2002383173406542,5,2,0,7,2.5176
1991716644473195_2002411570070369,2,4,1,7,0.6308
1991716644473195_2002455723399287,2,0,0,2,0.8808
1991716644473195_2002513993393460,21,4,0,25,10.7485
1991716644473195_2002594210052105,2,1,1,4,0.1985
1991716644473195_2002799223364937,1,8,2,11,-0.252
1991716644473195_2002800260031500,1,2,0,3,0.4404
1991716644473195_2002873670024159,0,2,0,2,0
1991716644473195_2002874170024109,1,0,0,1,0.4404
1991716644473195_2003083653336494,1,0,0,1,0.3818
1991716644473195_2003240639987462,6,4,2,12,1.3774
1991716644473195_2003353156642877,1,0,0,1,0.3612
1991716644473195_2003364013308458,0,3,2,5,-0.592
1991716644473195_2003370456641147,0,2,3,5,-0.888
1991716644473195_2003524656625727,4,20,1,25,1.4381
1991716644473195_2003526036625589,8,2,0,10,3.5673
1991716644473195_2003559833288876,9,0,1,10,3.9231
1991716644473195_2004532266524966,1,2,0,3,0.4927
1991716644473195_2004845253160334,1,0,0,1,0.0772
1991716644473195_2005178333127026,6,18,1,25,0.8455
1991716644473195_2005214389790087,1,22,2,25,0.3671
1991716644473195_2005230163121843,7,17,1,25,1.8909
1991716644473195_2005232513121608,2,8,1,11,0.4459
1991716644473195_2005236376454555,7,15,3,25,1.4559
1991716644473195_2005267253118134,3,21,1,25,0.5616
1991716644473195_2005274806450712,3,19,3,25,-0.3436
1991716644473195_2005291133115746,6,15,4,25,-0.9007
1991716644473195_2005294516448741,0,4,3,7,-1.0998
1991716644473195_2005475129764013,4,2,1,7,2.2949
1991716644473195_2005492406428952,7,17,1,25,2.5358
1991716644473195_2005512926426900,0,4,1,5,-0.2732
1991716644473195_2005614576416735,3,19,3,25,-0.4834
1991716644473195_2005688789742647,6,17,2,25,1.772
1991716644473195_2005699503074909,4,5,6,15,-1.4925
1991716644473195_2005702286407964,3,19,2,24,0.3363
1991716644473195_2005708559740670,0,2,0,2,0
1991716644473195_2005716296406563,0,6,0,6,0
1991716644473195_2005722476405945,0,3,0,3,0
1991716644473195_2005779829733543,1,11,0,12,0.3612
1991716644473195_2005785046399688,2,18,3,23,-0.6852
1991716644473195_2005813566396836,4,15,6,25,-1.6322
1991716644473195_2006304309681095,1,22,2,25,-0.7455
1991716644473195_2006374699674056,2,7,1,10,-0.2388
1991716644473195_2006379979673528,2,18,5,25,-1.7085
1991716644473195_2006380966340096,5,17,3,25,0.3909
1991716644473195_2006393389672187,1,5,1,7,-0.4947
1991716644473195_2006403183004541,1,6,0,7,0.34
1991716644473195_2006414329670093,1,3,0,4,0.4404
1991716644473195_2006420113002848,1,7,0,8,0.34
1991716644473195_2006424826335710,3,22,0,25,0.7136
1991716644473195_2006429513001908,0,1,1,2,-0.296
1991716644473195_2006431129668413,4,8,3,15,-0.2677
1991716644473195_2006543096323883,5,6,2,13,0.7543
1991716644473195_2006776502967209,0,1,0,1,0
1991716644473195_2006789422965917,7,10,8,25,-1.621
1991716644473195_2006793412965518,4,8,1,13,0.6681
1991716644473195_2006797502965109,4,11,5,20,-1.7545
1991716644473195_2006805506297642,2,2,1,5,-0.1421
1991716644473195_2006811552963704,4,20,1,25,0.7023
1991716644473195_2006812966296896,0,2,0,2,0
1991716644473195_2006833389628187,3,9,0,12,1.4725
1991716644473195_2006860546292138,8,6,2,16,3.2773
1991716644473195_2006863452958514,3,4,0,7,1.1806
1991716644473195_2006900662954793,8,12,4,24,1.5388
1991716644473195_2006931409618385,5,3,1,9,2.2512
1991716644473195_2006958042949055,0,2,0,2,0
1991716644473195_2007008732943986,1,0,0,1,0.4404
1991716644473195_2007029289608597,2,8,8,18,-3.4905
1991716644473195_2007041299607396,3,11,5,19,-1.1577
1991716644473195_2007047382940121,1,4,0,5,0.3182
1991716644473195_2007055102939349,5,7,2,14,0.7082
1991716644473195_2007058276272365,0,2,2,4,-0.6984
1991716644473195_2007395809571945,7,11,4,22,0.4527
1991716644473195_2007434719568054,7,8,1,16,2.5541
1991716644473195_2007515152893344,0,2,1,3,-0.6597
1991716644473195_2007517332893126,1,5,0,6,0.4404
1991716644473195_2007518196226373,1,0,0,1,0.4404
1991716644473195_2007529539558572,0,1,0,1,0
1991716644473195_2007546109556915,1,0,0,1,0.636
1991716644473195_2007548056223387,2,1,0,3,1.1689
1991716644473195_2007557299555796,5,4,0,9,2.0329
1991716644473195_2007557689555757,4,0,0,4,2.3774
1991716644473195_2007567422888117,9,5,0,14,5.0054
1991716644473195_2007585876219605,1,2,1,4,0.2624
1991716644473195_2007604312884428,1,0,0,1,0.636
1991716644473195_2007613026216890,1,2,0,3,0.0772
1991716644473195_2007734362871423,2,8,0,10,1.1399
1991716644473195_2007760362868823,0,6,0,6,0
1991716644473195_2007951029516423,3,3,0,6,1.1536
1991716644473195_2007975896180603,6,13,6,25,0.123
1991716644473195_2007977529513773,10,11,3,24,2.5993
1991716644473195_2007986512846208,1,0,0,1,0.636
1991716644473195_2008010259510500,2,3,1,6,0.6982
1991716644473195_2008016192843240,1,7,0,8,0.0772
1991716644473195_2008016329509893,0,4,0,4,0
1991716644473195_2008016392843220,5,8,0,13,1.699
1991716644473195_2008016512843208,4,17,3,24,0.1622
1991716644473195_2008017509509775,1,7,1,9,-0.168
1991716644473195_2008017636176429,3,19,3,25,-1.2426
1991716644473195_2008017729509753,0,2,0,2,0
1991716644473195_2008021842842675,1,3,2,6,-0.4451
1991716644473195_2008021909509335,0,4,0,4,0
1991716644473195_2008022036175989,3,3,0,6,0.7052
1991716644473195_2008022236175969,0,4,2,6,-1.0917
1991716644473195_2008022542842605,2,21,1,24,-0.1207
1991716644473195_2008022742842585,2,3,0,5,0.7956
1991716644473195_2008022902842569,0,0,1,1,-0.4098
1991716644473195_2008023789509147,0,1,0,1,0
1991716644473195_2008024342842425,1,0,0,1,0.2023
1991716644473195_2008024409509085,2,9,2,13,0.0345
1991716644473195_2008024519509074,0,4,0,4,0
1991716644473195_2008024829509043,0,4,0,4,0
1991716644473195_2008024932842366,1,3,0,4,0.4588
1991716644473195_2008025026175690,1,1,0,2,0.34
1991716644473195_2008025259509000,0,7,0,7,0
1991716644473195_2008028136175379,20,5,0,25,7.273
1991716644473195_2008028766175316,1,0,0,1,0.636
1991716644473195_2008047432840116,4,7,0,11,2.2814
1991716644473195_2008051396173053,1,0,0,1,0.636
1991716644473195_2008058966172296,1,0,0,1,0.636
1991716644473195_2008060892838770,1,0,0,1,0.636
1991716644473195_2008124889499037,1,0,0,1,0.636
1991716644473195_2008127349498791,1,2,0,3,0.636
1991716644473195_2008137022831157,1,0,0,1,0.636
1991716644473195_2008149529496573,1,14,0,15,0.34
1991716644473195_2008179106160282,1,1,0,2,0.636
1991716644473195_2008229182821941,3,1,0,4,1.4979
1991716644473195_2008263986151794,1,1,0,2,0.8074
1991716644473195_2008266369484889,6,5,1,12,2.7727
1991716644473195_2008420696136123,3,2,0,5,1.9322
1991716644473195_2008496299461896,1,3,0,4,0.4199
1991716644473195_2008499746128218,0,1,1,2,-0.5423
1991716644473195_2008508816127311,4,0,0,4,2.4342
1991716644473195_2008513499460176,5,1,2,8,1.8543
1991716644473195_2008517006126492,2,9,0,11,0.9292
1991716644473195_2008557849455741,2,8,0,10,1.3075
1991716644473195_2008582629453263,8,16,1,25,3.1964
1991716644473195_2008590009452525,1,0,0,1,0.4199
1991716644473195_2008612082783651,5,3,0,8,2.0468
1991716644473195_2008613102783549,12,11,2,25,3.0659
1991716644473195_2008614616116731,1,1,0,2,0.4466
1991716644473195_2008617076116485,1,1,0,2,0.636
1991716644473195_2008640806114112,1,3,0,4,0.6124
1991716644473195_2008646729446853,2,0,0,2,1.0764
1991716644473195_2008646969446829,3,1,0,4,1.6221
1991716644473195_2008650562779803,1,1,0,2,0.636
1991716644473195_2008655622779297,1,2,0,3,0.4939
1991716644473195_2008659386112254,14,4,0,18,8.1465
1991716644473195_2008664076111785,1,3,0,4,0.4404
1991716644473195_2008805029431023,0,9,0,9,0
1991716644473195_2008833952761464,1,0,0,1,0.5994
1991716644473195_2008886426089550,6,1,0,7,3.0666
1991716644473195_2009040392740820,1,1,0,2,0.636
1991716644473195_2009063002738559,1,1,0,2,0.1779
1991716644473195_2009076046070588,1,0,0,1,0.636
1991716644473195_2009111529400373,1,3,1,5,-0.4651
1991716644473195_2009132992731560,10,8,0,18,3.9314
1991716644473195_2009133059398220,1,1,0,2,0.8521
1991716644473195_2009137332731126,1,4,0,5,0.4404
1991716644473195_2009153956062797,0,1,0,1,0
1991716644473195_2009210396057153,0,3,0,3,0
1991716644473195_2009241939387332,1,1,0,2,0.2023
1991716644473195_2009247142720145,8,11,3,22,2.5823
1991716644473195_2009266972718162,0,1,0,1,0
1991716644473195_2009313416046851,1,0,0,1,0.636
1991716644473195_2009351139376412,2,3,0,5,0.9466
1991716644473195_2009397102705149,0,7,0,7,0
1991716644473195_2009403646037828,0,3,0,3,0
1991716644473195_2009557272689132,1,3,0,4,0.2023
1991716644473195_2009607526017440,2,0,0,2,0.7498
1991716644473195_2009621999349326,2,0,0,2,1.1627
1991716644473195_2009641959347330,3,6,0,9,1.272
1991716644473195_2009643676013825,1,5,1,7,-0.1019
1991716644473195_2009643949347131,7,7,0,14,3.1412
1991716644473195_2009656339345892,3,4,0,7,1.8073
1991716644473195_2009714329340093,1,0,0,1,0.636
1991716644473195_2009720202672839,1,2,0,3,0.636
1991716644473195_2009770666001126,5,4,0,9,2.9609
1991716644473195_2009773979334128,1,0,0,1,0.636
1991716644473195_2009821885996004,2,0,0,2,1.1627
1991716644473195_2009822229329303,1,0,0,1,0.636
1991716644473195_2009824179329108,0,3,0,3,0
1991716644473195_2009825852662274,1,9,1,11,0.2141
1991716644473195_2009840809327445,0,1,0,1,0
1991716644473195_2009860012658858,2,0,0,2,1.2354
1991716644473195_2009872945990898,1,1,0,2,0.636
1991716644473195_2009877259323800,0,3,0,3,0
1991716644473195_2009961179315408,1,4,0,5,0.3612
1991716644473195_2009976345980558,0,1,0,1,0
1991716644473195_2010088679302658,2,6,0,8,0.976
1991716644473195_2010137172631142,3,2,1,6,0.5875
1991716644473195_2010139925964200,1,1,0,2,0.4215
1991716644473195_2010159599295566,2,0,0,2,1.2354
1991716644473195_2010173532627506,3,8,1,12,0.2712
1991716644473195_2010173969294129,4,2,0,6,2.1496
1991716644473195_2010195249292001,0,4,1,5,-0.5106
1991716644473195_2010197065958486,3,6,0,9,1.0102
1991716644473195_2010238412621018,7,3,0,10,3.8093
1991716644473195_2010239825954210,3,4,0,7,1.6758
1991716644473195_2010261795952013,4,6,0,10,2.5338
1991716644473195_2010262199285306,2,1,0,3,1.3048
1991716644473195_2010272529284273,2,3,0,5,1.0575
1991716644473195_2010315945946598,2,0,0,2,1.2354
1991716644473195_2010375502607309,1,0,0,1,0.636
1991716644473195_2010409215937271,5,2,0,7,2.9703
1991716644473195_2010426579268868,3,2,0,5,1.2487
1991716644473195_2010441219267404,1,0,0,1,0.636
1991716644473195_2010461485932044,2,3,0,5,0.7548
1991716644473195_2010474562597403,3,0,0,3,1.8348
1991716644473195_2010481805930012,2,1,0,3,1.2354
1991716644473195_2010609772583882,0,3,1,4,-0.5267
1991716644473195_2010645959246930,0,3,0,3,0
1991716644473195_2010679675910225,1,2,0,3,0.636
1991716644473195_2010686469242879,0,1,1,2,-0.2263
1991716644473195_2010735435904649,1,0,0,1,0.4404
1991716644473195_2010739309237595,2,3,0,5,0.7527
1991716644473195_2010741099237416,2,0,0,2,1.1287
1991716644473195_2010760905902102,1,0,0,1,0.636
1991716644473195_2010793072565552,3,16,6,25,-0.9932
1991716644473195_2010813292563530,1,0,0,1,0.636
1991716644473195_2010947082550151,7,4,1,12,2.5005
1991716644473195_2010956669215859,2,2,0,4,0.7132
1991716644473195_2011035852541274,4,2,0,6,2.4342
1991716644473195_2011266925851500,2,1,0,3,1.1627
1991716644473195_2011283985849794,1,0,0,1,0.636
1991716644473195_2011284989183027,1,0,0,1,0.636
1991716644473195_2011292765848916,1,1,0,2,0.636
1991716644473195_2011346915843501,2,0,0,2,0.8623
1991716644473195_2011355145842678,1,2,0,3,0.6369
1991716644473195_2011739959137530,1,0,0,1,0.636
1991716644473195_2011763135801879,1,2,0,3,0.636
1991716644473195_2011767619134764,3,15,7,25,-1.3884
1991716644473195_2011808992463960,1,2,0,3,0.4404
1991716644473195_2011812145796978,0,3,0,3,0
1991716644473195_2011820595796133,1,0,0,1,0.636
1991716644473195_2011839049127621,3,3,0,6,1.5249
1991716644473195_2011844025793790,3,1,0,4,1.8348
1991716644473195_2011873785790814,5,1,0,6,3.2518
1991716644473195_2011875659123960,10,0,0,10,5.1306
1991716644473195_2011876005790592,4,1,0,5,2.2025
1991716644473195_2012021035776089,4,0,0,4,2.4342
1991716644473195_2012024032442456,1,0,0,1,0.636
1991716644473195_2012332942411565,4,3,0,7,2.3615
1991716644473195_2012362572408602,4,1,0,5,2.2025
1991716644473195_2012376369073889,5,0,0,5,3.0336
1991716644473195_2012401435738049,0,0,1,1,-0.6174
1991716644473195_2012446532400206,1,0,0,1,0.636
1991716644473195_2012459812398878,1,0,0,1,0.636
1991716644473195_2012460079065518,1,0,0,1,0.636
1991716644473195_2012468855731307,4,0,1,5,0.9708
1991716644473195_2012489312395928,0,2,0,2,0
1991716644473195_2012548202390039,1,1,0,2,0.636
1991716644473195_2012551459056380,3,0,0,3,1.8348
1991716644473195_2012585522386307,2,1,0,3,0.976
1991716644473195_2012742142370645,7,2,0,9,3.5586
1991716644473195_2012761345702058,3,1,0,4,1.6886
1991716644473195_2012770132367846,0,3,0,3,0
1991716644473195_2012770409034485,1,0,2,3,-0.3805
1991716644473195_2012773815700811,1,0,0,1,0.636
1991716644473195_2012786755699517,1,0,0,1,0.636
1991716644473195_2012814379030088,2,0,0,2,1.4631
1991716644473195_2012820479029478,1,0,0,1,0.636
1991716644473195_2012821559029370,2,0,0,2,1.0575
1991716644473195_2012823409029185,3,0,0,3,1.5842
1991716644473195_2012841975693995,3,0,0,3,1.6374
1991716644473195_2012849842359875,1,0,0,1,0.636
1991716644473195_2012853635692829,1,0,0,1,0.636
1991716644473195_2012863942358465,1,1,0,2,0.5994
1991716644473195_2012891395689053,4,6,0,10,1.3946
1991716644473195_2012939842350875,4,5,0,9,1.3717
1991716644473195_2012984139013112,2,0,0,2,1.2354
1991716644473195_2012985609012965,2,0,0,2,1.2354
1991716644473195_2012996602345199,1,0,0,1,0.636
1991716644473195_2013021925676000,1,0,0,1,0.636
1991716644473195_2013025332342326,1,1,0,2,0.296
1991716644473195_2013056432339216,6,1,0,7,2.6455
1991716644473195_2013103655667827,1,0,0,1,0.636
1991716644473195_2013115365666656,1,1,0,2,0.636
1991716644473195_2013135452331314,3,1,0,4,1.5168
1991716644473195_2013172398994286,1,0,0,1,0.636
1991716644473195_2013173142327545,1,0,0,1,0.636
1991716644473195_2013179348993591,3,2,0,5,1.6758
1991716644473195_2013331438978382,1,0,0,1,0.636
1991716644473195_2013401328971393,0,2,0,2,0
1991716644473195_2013414498970076,3,2,0,5,1.7086
1991716644473195_2013448235633369,2,0,0,2,1.2354
1991716644473195_2013455012299358,1,2,0,3,0.3818
1991716644473195_2013484402296419,4,0,0,4,2.4708
1991716644473195_2013490912295768,3,5,1,9,0.0115
1991716644473195_2013491458962380,2,7,0,9,0.3732
1991716644473195_2013529352291924,3,0,0,3,2.0503
1991716644473195_2013532218958304,3,0,0,3,1.7987
1991716644473195_2013556945622498,2,0,0,2,1.1627
1991716644473195_2013564082288451,1,0,0,1,0.636
1991716644473195_2013605812284278,1,0,0,1,0.636
1991716644473195_2013656525612540,7,5,0,12,3.9942
1991716644473195_2013686412276218,1,0,0,1,0.636
1991716644473195_2013696375608555,4,1,1,6,1.6758
1991716644473195_2013699118941614,3,0,0,3,1.6758
1991716644473195_2013866925591500,2,0,0,2,1.1627
1991716644473195_2013875218924004,6,3,1,10,2.9605
1991716644473195_2013929152251944,4,0,0,4,2.2752
1991716644473195_2013957308915795,4,0,0,4,2.2025
1991716644473195_2013972778914248,1,2,0,3,0.2263
1991716644473195_2013977558913770,1,2,0,3,0.636
1991716644473195_2013982472246612,2,0,0,2,0.9972
1991716644473195_2013987035579489,1,1,0,2,0.4199
1991716644473195_2013992435578949,1,0,0,1,0.636
1991716644473195_2013995858911940,4,0,0,4,1.8073
1991716644473195_2014016735576519,3,0,0,3,1.7346
1991716644473195_2014049188906607,1,0,0,1,0.636
1991716644473195_2014122278899298,0,1,0,1,0
1991716644473195_2014132248898301,1,0,0,1,0.636
1991716644473195_2014180172226842,1,0,0,1,0.636
1991716644473195_2014208915557301,2,0,0,2,1.1627
1991716644473195_2014215638889962,2,0,0,2,1.2354
1991716644473195_2014328085545384,2,0,0,2,1.0379
1991716644473195_2014419865536206,1,0,0,1,0.636
1991716644473195_2014427692202090,3,0,0,3,1.6031
1991716644473195_2014437308867795,6,0,0,6,3.9359
1991716644473195_2014469815531211,3,0,0,3,1.7982
1991716644473195_2014491438862382,2,0,0,2,1.1627
1991716644473195_2014505092194350,0,5,0,5,0
1991716644473195_2014507972194062,1,2,0,3,0.5994
1991716644473195_2014511395527053,5,7,0,12,2.7981
1991716644473195_2014517452193114,5,4,0,9,2.6488
1991716644473195_2014517545526438,3,0,0,3,1.6031
1991716644473195_2014518312193028,0,2,0,2,0
1991716644473195_2014525385525654,0,5,0,5,0
1991716644473195_2014674522177407,2,0,0,2,1.0764
1991716644473195_2014860512158808,3,1,0,4,1.6569
1991716644473195_2014968475481345,3,0,0,3,2.0029
1991716644473195_2014983338813192,1,0,0,1,0.4199
1991716644473195_2014988908812635,2,0,0,2,1.2846
1991716644473195_2015045212140338,1,0,0,1,0.636
1991716644473195_2015052182139641,2,1,0,3,1.0764
1991716644473195_2015056108805915,2,1,0,3,0.6468
1991716644473195_2015057315472461,2,0,0,2,1.2354
1991716644473195_2015085832136276,1,12,0,13,0.2023
1991716644473195_2015107422134117,4,0,0,4,2.6156
1991716644473195_2015107568800769,4,0,0,4,2.2391
1991716644473195_2015109128800613,2,0,0,2,1.1627
1991716644473195_2015109638800562,3,1,0,4,1.7621
1991716644473195_2015119842132875,2,1,0,3,1.0764
1991716644473195_2015130242131835,1,3,0,4,0.3612
1991716644473195_2015137475464445,2,1,0,3,1.1627
1991716644473195_2015207085457484,2,1,0,3,1.2354
1991716644473195_2015493485428844,1,0,0,1,0.636
1991716644473195_2015522615425931,1,0,0,1,0.636
1991716644473195_2015630488748477,1,0,0,1,0.636
1991716644473195_2015649662079893,2,0,1,3,0.636
1991716644473195_2015684855409707,2,0,0,2,1.1627
1991716644473195_2015709762073883,3,2,0,5,1.6684
1991716644473195_2015742978737228,2,0,0,2,0.9781
1991716644473195_2015800372064822,1,0,0,1,0.636
1991716644473195_2015820382062821,4,6,0,10,2.228
1991716644473195_2015831878728338,0,1,0,1,0
1991716644473195_2016135175364675,3,5,0,8,1.9962
1991716644473195_2016212602023599,2,1,0,3,1.1627
1991716644473195_2016222618689264,1,1,0,2,0.4215
1991716644473195_2016248472020012,2,0,0,2,1.1627
1991716644473195_2016266955351497,3,0,0,3,1.6942
1991716644473195_2016267192018140,0,1,1,2,-0.296
1991716644473195_2016298025348390,5,1,0,6,2.7227
1991716644473195_2016325618678964,3,1,0,4,1.5842
